in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 23:57,2021/11/19 23:57,19,56 22,57 05,57 35,26,22,46,45,84,43,44,83,19
2021/11/19 23:58,2021/11/19 23:59,62,58 40,58 48,58 57,26,21,46,46,82,44,44,83,19
2021/11/19 23:59,2021/11/19 23:59,38,59 17,59 25,59 35,25,21,46,45,84,43,43,84,36
2021/11/19 23:59,2021/11/20 0:00,37,59 54,00 02,00 12,26,22,46,45,84,43,44,83,37
2021/11/20 0:00,2021/11/20 0:00,37,00 32,00 40,00 49,26,22,46,45,81,45,44,81,35
2021/11/20 0:04,2021/11/20 0:05,75,05 26,05 34,05 43,26,21,46,45,83,44,44,84,37
2021/11/20 0:05,2021/11/20 0:06,23,05 45,05 56,06 06,26,21,47,46,83,43,45,83,37
2021/11/20 0:06,2021/11/20 0:06,44,06 04,06 14,06 25,27,22,47,46,84,43,43,83,19
2021/11/20 0:06,2021/11/20 0:07,50,06 23,06 34,07 10,26,22,46,45,83,44,43,83,19
2021/11/20 0:07,2021/11/20 0:08,31,06 42,07 18,07 59,26,23,46,45,84,42,43,84,19
2021/11/20 0:08,2021/11/20 0:08,35,07 23,08 07,08 31,26,22,46,45,84,43,44,83,19
2021/11/20 0:09,2021/11/20 0:10,32,08 44,09 43,09 53,26,23,46,45,84,43,43,84,18
2021/11/20 0:11,2021/11/20 0:12,70,10 06,10 30,11 28,26,22,46,45,84,43,43,84,19
2021/11/20 0:18,2021/11/20 0:26,506,26 35,26 42,26 52,25,21,46,45,83,45,44,82,19
2021/11/20 0:27,2021/11/20 0:27,34,27 12,27 23,27 34,27,23,47,46,84,42,43,84,19
2021/11/20 0:27,2021/11/20 0:28,32,27 32,27 42,28 08,26,23,46,45,84,43,44,83,19
2021/11/20 0:28,2021/11/20 0:29,36,27 51,28 16,28 40,26,22,46,45,85,42,43,84,19
2021/11/20 0:29,2021/11/20 0:29,32,28 21,28 49,29 16,26,22,46,45,84,42,43,84,19
2021/11/20 0:29,2021/11/20 0:30,47,28 53,29 25,29 48,26,22,46,46,83,43,43,83,18
2021/11/20 0:30,2021/11/20 0:31,47,29 30,29 56,30 36,26,22,46,45,83,44,43,83,19
2021/11/20 0:31,2021/11/20 0:31,37,30 01,30 44,31 22,26,23,46,45,84,42,43,83,19
2021/11/20 0:31,2021/11/20 0:32,33,30 49,31 30,31 59,26,22,46,45,83,43,44,83,18
2021/11/20 0:32,2021/11/20 0:33,83,31 35,32 07,32 32,25,23,46,45,84,43,43,84,19
2021/11/20 0:33,2021/11/20 0:34,21,32 12,32 40,33 55,26,23,46,45,84,42,43,83,18
2021/11/20 0:34,2021/11/20 0:34,29,32 45,34 03,34 16,26,22,47,46,83,44,44,83,18
2021/11/20 0:34,2021/11/20 0:35,33,34 07,34 24,34 45,26,22,46,45,83,45,45,82,18
2021/11/20 0:35,2021/11/20 0:38,205,38 06,38 14,38 24,26,22,46,45,82,44,44,82,20
2021/11/20 0:38,2021/11/20 0:38,22,38 26,38 37,38 46,26,22,47,46,83,43,43,84,37
2021/11/20 0:38,2021/11/20 0:39,19,38 45,38 55,39 05,27,23,47,46,86,42,44,83,19
2021/11/20 0:39,2021/11/20 0:39,30,39 04,39 14,39 24,26,22,48,46,84,43,43,84,19
2021/11/20 0:39,2021/11/20 0:40,29,39 23,39 33,39 54,27,23,46,45,82,44,43,83,19
2021/11/20 0:40,2021/11/20 0:40,33,39 41,40 02,40 24,26,22,46,45,83,44,45,83,19
2021/11/20 0:41,2021/11/20 0:42,48,41 45,41 53,42 02,26,22,46,45,85,42,43,83,19
2021/11/20 0:42,2021/11/20 0:42,22,42 04,42 15,42 24,26,22,47,46,84,44,43,84,37
2021/11/20 0:42,2021/11/20 0:43,30,42 42,42 52,43 08,26,23,46,45,84,44,44,84,19
2021/11/20 0:43,2021/11/20 0:44,42,43 21,43 47,44 07,26,23,46,45,84,42,42,84,19
2021/11/20 0:44,2021/11/20 0:44,24,43 52,44 15,44 48,26,22,46,45,84,43,43,84,19
2021/11/20 0:44,2021/11/20 0:45,35,44 20,44 56,45 12,26,22,47,46,84,43,45,83,19
2021/11/20 0:45,2021/11/20 0:46,37,45 01,45 21,45 47,25,21,46,45,83,44,45,83,19
2021/11/20 0:46,2021/11/20 0:46,0,45 26,45 56,46 25,26,23,46,45,85,42,43,84,19
2021/11/20 0:46,2021/11/20 0:47,33,46 00,46 33,46 52,26,23,46,45,83,44,44,83,19
2021/11/20 0:47,2021/11/20 0:47,27,46 38,47 01,47 25,26,23,46,45,83,45,45,83,18
2021/11/20 0:47,2021/11/20 0:48,29,47 06,47 33,47 52,26,23,46,45,84,43,44,84,19
2021/11/20 0:48,2021/11/20 0:48,28,47 38,48 00,48 21,26,22,46,45,84,43,44,83,19
2021/11/20 0:49,2021/11/20 0:49,29,48 34,48 58,49 21,26,22,46,45,83,44,45,83,18
2021/11/20 0:50,2021/11/20 0:50,39,49 35,49 59,50 23,26,23,46,45,83,42,44,82,19
2021/11/20 0:50,2021/11/20 0:51,25,50 04,50 32,51 02,25,22,46,45,84,43,43,84,19
2021/11/20 0:55,2021/11/20 0:56,31,50 35,51 11,55 57,26,22,46,45,83,43,44,83,19
2021/11/20 0:59,2021/11/20 1:01,96,00 48,00 56,01 05,26,23,46,45,83,44,43,83,17
2021/11/20 1:01,2021/11/20 1:01,22,01 07,01 18,01 27,26,22,47,46,85,43,45,82,37
2021/11/20 1:01,2021/11/20 1:01,20,01 26,01 36,01 46,27,23,47,46,83,43,43,83,19
2021/11/20 1:01,2021/11/20 1:02,38,01 45,01 55,02 06,27,23,47,46,84,44,43,84,19
2021/11/20 1:02,2021/11/20 1:02,26,02 04,02 14,02 44,25,22,46,45,82,43,44,83,19
2021/11/20 1:02,2021/11/20 1:03,27,02 23,02 53,03 10,26,22,46,45,84,43,43,84,19
2021/11/20 1:03,2021/11/20 1:03,29,02 57,03 18,03 37,26,22,46,45,83,43,44,83,19
2021/11/20 1:03,2021/11/20 1:04,28,03 23,03 46,04 08,26,22,46,45,85,44,45,84,18
2021/11/20 1:04,2021/11/20 1:04,30,03 49,04 17,04 36,26,22,46,45,82,45,43,83,18
2021/11/20 1:04,2021/11/20 1:05,30,04 51,04 59,05 08,26,23,46,45,84,43,44,82,19
2021/11/20 1:13,2021/11/20 1:15,91,14 57,15 05,15 14,26,22,46,45,84,43,44,82,37
2021/11/20 1:15,2021/11/20 1:15,23,15 16,15 27,15 36,26,22,47,46,82,44,44,82,37
