state1,state2,state3,state4,state4,time
1,1,0,0,0,2021/11/20 4:12
2,1,0,0,0,2021/11/20 4:12
1,1,0,0,0,2021/11/20 4:12
2,1,0,0,0,2021/11/20 4:13
1,1,0,0,0,2021/11/20 4:13
2,1,0,0,0,2021/11/20 4:14
1,1,0,0,0,2021/11/20 4:14
2,1,0,0,0,2021/11/20 4:14
1,1,0,0,0,2021/11/20 4:14
2,1,0,0,0,2021/11/20 4:15
1,1,0,0,0,2021/11/20 4:15
2,1,0,0,0,2021/11/20 4:15
1,1,0,0,0,2021/11/20 4:15
2,1,0,0,0,2021/11/20 4:16
1,1,0,0,0,2021/11/20 4:16
2,1,0,0,0,2021/11/20 4:16
1,1,0,0,0,2021/11/20 4:16
2,1,0,0,0,2021/11/20 4:17
1,1,0,0,0,2021/11/20 4:17
2,1,0,0,0,2021/11/20 4:17
1,1,0,0,0,2021/11/20 4:18
2,1,0,0,0,2021/11/20 4:19
1,1,0,0,0,2021/11/20 4:19
2,1,0,0,0,2021/11/20 4:19
1,1,0,0,0,2021/11/20 4:19
2,1,0,0,0,2021/11/20 4:20
1,1,0,0,0,2021/11/20 4:20
2,1,0,0,0,2021/11/20 4:20
1,1,0,0,0,2021/11/20 4:21
2,1,0,0,0,2021/11/20 4:21
1,1,0,0,0,2021/11/20 4:21
2,1,0,0,0,2021/11/20 4:22
1,1,0,0,0,2021/11/20 4:22
2,1,0,0,0,2021/11/20 4:22
1,1,0,0,0,2021/11/20 4:22
2,1,0,0,0,2021/11/20 4:23
1,1,0,0,0,2021/11/20 4:23
2,1,0,0,0,2021/11/20 4:23
1,1,0,0,0,2021/11/20 4:24
2,1,0,0,0,2021/11/20 4:24
1,1,0,0,0,2021/11/20 4:24
2,1,0,0,0,2021/11/20 4:25
1,1,0,0,0,2021/11/20 4:25
2,1,0,0,0,2021/11/20 4:26
1,1,0,0,0,2021/11/20 4:26
2,1,0,0,0,2021/11/20 4:26
1,1,0,0,0,2021/11/20 4:26
2,1,0,0,0,2021/11/20 4:27
1,1,0,0,0,2021/11/20 4:27
2,1,0,0,0,2021/11/20 4:27
1,1,0,0,0,2021/11/20 4:27
